url,status,notes,created_at,pending_at
https://weibo.com/2194035935/PjAXRuL2C,completed,长文章/网页链接（未获取链接）/图片1,2025-03-22 15:04:37,2025-03-22 15:17:33
https://weibo.com/3957040489/PjAxyB1OQ,completed,长文章/视频1（视频链接 403Forbidden）,2025-03-22 15:07:41,2025-03-22 15:17:33
https://weibo.com/2634877355/PjyMW1wBR,completed,视频1/图片15（图片链接 403Forbidden）,2025-03-22 15:08:44,2025-03-22 15:17:34
https://weibo.com/2194035935/Pjrjx1asj,completed,转发/原文链接（未获取链接）/图片3（图片链接 403Forbidden）,2025-03-22 15:09:26,2025-03-22 15:17:35
https://weibo.com/3957040489/PjhYT38ub,completed,长文章/原文微博链接（和普通链接一样，未获取链接）/图片5（图片链接 403Forbidden）,2025-03-22 15:10:03,2025-03-22 15:17:35
https://weibo.com/1727858283/OiIvxC2UD,completed,转发/原文不可见/转发文网页链接（未获取链接）,2025-03-22 15:11:00,2025-03-22 15:17:36
https://weibo.com/1727858283/PhejYuN91,completed,转发/网页字符串/图片5（图片链接 403Forbidden）,2025-03-22 15:11:48,2025-03-22 15:17:36
https://weibo.com/1400798461/PjDaj68g3,completed,转发长文/图片2,2025-03-22 15:12:23,2025-03-22 15:23:29
